datetime,ticker,open,high,low,close,volume
2015-12-07 10:48:00,AFLT,57.1,57.1,57.1,57.1,0
2015-12-07 10:49:00,AFLT,57.11,57.11,56.97,56.97,24500
2015-12-07 10:50:00,AFLT,57.0,57.0,56.97,56.97,5900
2015-12-07 10:51:00,AFLT,56.97,56.97,56.7,56.7,3200
2015-12-07 10:52:00,AFLT,56.97,57.1,56.97,57.1,23300
2015-12-07 10:53:00,AFLT,57.07,57.1,57.05,57.05,5800
2015-12-07 10:54:00,AFLT,57.0,57.04,56.93,56.98,39000
2015-12-07 10:55:00,AFLT,57.0,57.04,56.95,57.04,5100
2015-12-07 10:56:00,AFLT,57.03,57.07,57.02,57.02,4500
2015-12-07 10:57:00,AFLT,57.01,57.01,57.01,57.01,4100
2015-12-07 10:58:00,AFLT,56.98,56.98,56.98,56.98,4100
2015-12-07 10:59:00,AFLT,56.99,56.99,56.98,56.98,14400
2015-12-07 11:00:00,AFLT,56.98,56.98,56.98,56.98,0
2015-12-07 11:01:00,AFLT,56.98,57.04,56.98,57.04,10800
2015-12-07 11:02:00,AFLT,57.04,57.05,56.98,56.98,13200
2015-12-07 11:03:00,AFLT,56.94,56.98,56.0,56.0,28200
2015-12-07 11:04:00,AFLT,57.03,57.06,57.03,57.06,6400
2015-12-07 11:05:00,AFLT,57.03,57.06,56.99,56.99,10700
2015-12-07 11:06:00,AFLT,56.99,56.99,56.99,56.99,0
2015-12-07 11:07:00,AFLT,56.99,56.99,56.99,56.99,0
2015-12-07 11:08:00,AFLT,56.99,56.99,56.99,56.99,0
2015-12-07 11:09:00,AFLT,56.98,56.98,56.98,56.98,1000
2015-12-07 11:10:00,AFLT,56.97,56.97,55.56,55.56,200
2015-12-07 11:11:00,AFLT,55.56,55.56,55.56,55.56,0
2015-12-07 11:12:00,AFLT,57.0,57.02,57.0,57.02,4800
2015-12-07 11:13:00,AFLT,57.04,57.05,57.04,57.05,3000
2015-12-07 11:14:00,AFLT,57.05,57.05,57.05,57.05,0
2015-12-07 11:15:00,AFLT,57.06,57.1,57.06,57.1,4200
2015-12-07 11:16:00,AFLT,57.1,57.1,57.07,57.07,10200
2015-12-07 11:17:00,AFLT,57.02,57.02,57.0,57.0,14200
2015-12-07 11:18:00,AFLT,57.0,57.02,57.0,57.01,7600
2015-12-07 11:19:00,AFLT,56.98,57.1,56.98,57.1,6500
2015-12-07 11:20:00,AFLT,57.1,57.1,57.1,57.1,0
2015-12-07 11:21:00,AFLT,57.03,57.03,56.97,56.97,13700
2015-12-07 11:22:00,AFLT,56.94,56.94,56.94,56.94,600
2015-12-07 11:23:00,AFLT,57.1,57.1,57.02,57.02,1000
2015-12-07 11:24:00,AFLT,57.02,57.02,57.02,57.02,0
2015-12-07 11:25:00,AFLT,57.02,57.02,57.02,57.02,0
2015-12-07 11:26:00,AFLT,57.02,57.02,57.02,57.02,0
2015-12-07 11:27:00,AFLT,57.02,57.02,57.02,57.02,0
2015-12-07 11:28:00,AFLT,57.02,57.02,57.02,57.02,100
2015-12-07 11:29:00,AFLT,57.1,57.1,56.0,56.0,2800
2015-12-07 11:30:00,AFLT,57.06,57.06,57.05,57.06,600
2015-12-07 11:31:00,AFLT,57.08,57.4,57.02,57.08,159700
2015-12-07 11:32:00,AFLT,57.21,57.55,57.16,57.46,81300
2015-12-07 11:33:00,AFLT,57.47,57.56,57.4,57.44,45400
2015-12-07 11:34:00,AFLT,57.49,57.49,57.38,57.48,21200
2015-12-07 11:35:00,AFLT,57.49,57.57,57.49,57.57,13800
2015-12-07 11:36:00,AFLT,57.53,58.08,57.52,57.52,21800
2015-12-07 11:37:00,AFLT,57.53,57.53,57.43,57.46,16600
2015-12-07 11:38:00,AFLT,57.49,57.49,57.19,57.19,16500
2015-12-07 11:39:00,AFLT,57.66,57.66,57.4,57.47,2000
2015-12-07 11:40:00,AFLT,57.47,57.47,56.99,56.99,16300
2015-12-07 11:41:00,AFLT,57.39,57.39,57.39,57.39,1200
2015-12-07 11:42:00,AFLT,57.37,57.37,57.36,57.36,3400
2015-12-07 11:43:00,AFLT,57.36,57.36,57.36,57.36,0
2015-12-07 11:44:00,AFLT,57.36,57.36,57.36,57.36,0
2015-12-07 11:45:00,AFLT,57.36,57.36,57.36,57.36,0
